i,x,y,PRECIP
303,-91.905815,34.582733,45.845135
304,-92.89491,34.551666,45.845135
305,-93.90163,34.482693,45.845135
306,-94.9181,34.375816,45.845135
307,-95.93676,34.23228,45.845135
308,-96.94978,34.053947,45.845135
309,-97.94954,33.84144,45.845135
310,-98.928246,33.595375,45.845135
311,-99.87865,33.320107,45.845135
312,-100.79336,33.015015,45.845135
313,-101.66553,32.684444,45.845135
314,-102.48848,32.33026,45.845135
315,-103.25599,31.954954,45.845135
316,-103.9621,31.561005,45.845135
317,-104.6015,31.152143,45.845135
318,-105.16945,30.732096,45.845135
319,-105.66142,30.302729,45.845135
320,-106.07376,29.867147,45.845135
321,-106.40337,29.429703,45.845135
322,-106.64768,28.9935,45.845135
323,-106.804855,28.561646,45.845135
324,-106.8736,28.13663,45.845135
325,-106.85358,27.723417,45.845135
326,-106.74486,27.324497,45.845135
327,-106.548256,26.942352,45.845135
328,-106.26527,26.580093,45.845135
329,-105.898056,26.240204,45.845135
330,-105.44943,25.92641,45.845135
331,-104.922745,25.63996,45.845135
332,-104.32206,25.383333,45.845135
333,-103.65192,25.159018,45.845135
334,-102.91752,24.968258,45.845135
335,-102.12429,24.811672,45.845135
336,-101.27841,24.692368,45.845135
337,-100.38613,24.609104,45.845135
338,-99.45445,24.564365,45.845135
339,-98.49045,24.558151,45.845135
340,-97.50134,24.58922,45.845135
341,-96.49464,24.658192,45.845135
342,-95.478165,24.765068,45.845135
343,-94.459496,24.908606,45.845135
344,-93.44647,25.086939,45.845135
345,-92.446724,25.299448,45.845135
346,-91.46802,25.545511,45.845135
347,-90.51762,25.820778,45.845135
348,-89.602806,26.12525,45.845135
349,-88.73064,26.45582,45.845135
350,-87.907776,26.810623,45.845135
351,-87.140274,27.18593,45.845135
352,-86.434166,27.57988,45.845135
353,-85.79466,27.988121,45.845135
354,-85.226814,28.408789,45.845135
355,-84.73483,28.838156,45.845135
356,-84.322495,29.273737,45.845135
357,-83.99289,29.711184,45.845135
358,-83.74858,30.147387,45.845135
359,-83.59141,30.579239,45.845135
360,-83.52257,31.003635,45.845135
361,-79.937454,31.987886,43.909344
362,-80.07983,32.51108,43.909344
363,-80.33732,33.011906,43.909344
364,-80.707825,33.48601,43.909344
365,-81.18857,33.929672,43.909344
366,-81.776024,34.34164,43.909344
367,-82.46563,34.716328,43.909344
368,-83.25202,35.05187,43.909344
369,-84.12947,35.346397,43.909344
370,-85.091125,35.59681,43.909344
371,-86.129654,35.80062,43.909344
372,-87.237206,35.957207,43.909344
373,-88.405334,36.065323,43.909344
374,-89.62522,36.124355,43.909344
375,-90.88748,36.133675,43.909344
376,-92.182556,36.092667,43.909344
377,-93.500595,36.001945,43.909344
378,-94.83151,35.862137,43.909344
379,-96.16526,35.674484,43.909344
380,-97.491615,35.440845,43.909344
381,-98.80056,35.16247,43.909344
382,-100.08204,34.841225,43.909344
383,-101.32636,34.479584,43.909344
384,-102.524055,34.081287,43.909344
385,-103.66596,33.647568,43.909344
386,-104.74347,33.18403,43.909344
387,-105.74834,32.69252,43.909344
388,-106.67291,32.177406,43.909344
389,-107.51011,31.642405,43.909344
390,-108.25357,31.090628,43.909344
391,-108.89781,30.528908,43.909344
392,-109.437675,29.95911,43.909344
393,-109.86916,29.386206,43.909344
394,-110.18909,28.815166,43.909344
395,-110.39488,28.249718,43.909344
396,-110.48494,27.69359,43.909344
397,-110.45871,27.152376,43.909344
398,-110.31634,26.629183,43.909344
399,-110.058945,26.128979,43.909344
400,-109.68844,25.654873,43.909344
401,-109.20769,25.210592,43.909344
402,-108.62023,24.799244,43.909344
403,-107.93063,24.424557,43.909344
404,-107.14414,24.088394,43.909344
405,-106.266785,23.794487,43.909344
406,-105.30513,23.544075,43.909344
407,-104.2666,23.340263,43.909344
408,-103.15906,23.183678,43.909344
409,-101.99093,23.07556,43.909344
410,-100.77104,23.01653,43.909344
411,-99.50878,23.00721,43.909344
412,-98.2137,23.04822,43.909344
413,-96.89566,23.138939,43.909344
414,-95.56474,23.278748,43.909344
415,-94.231,23.466402,43.909344
416,-92.90465,23.700039,43.909344
417,-91.5957,23.978413,43.909344
418,-90.314224,24.299662,43.909344
419,-89.0699,24.6613,43.909344
420,-87.8722,25.059599,43.909344
421,-86.7303,25.493317,43.909344
422,-85.65279,25.956858,43.909344
423,-84.64792,26.448362,43.909344
424,-83.72335,26.96348,43.909344
425,-82.886154,27.49848,43.909344
426,-82.14259,28.049637,43.909344
427,-81.49845,28.611977,43.909344
428,-80.95859,29.181774,43.909344
429,-80.52709,29.754679,43.909344
430,-80.20717,30.32572,43.909344
431,-80.00138,30.891167,43.909344
432,-79.911224,31.446672,43.909344
433,-76.507706,32.531586,41.758446
434,-76.68209,33.1716,41.758446
435,-76.997406,33.784893,41.758446
436,-77.45114,34.365253,41.758446
437,-78.04005,34.910194,41.758446
438,-78.75951,35.414127,41.758446
439,-79.60399,35.8727,41.758446
440,-80.56729,36.284668,41.758446
441,-81.64186,36.644444,41.758446
442,-82.81956,36.95078,41.758446
443,-84.09152,37.20057,41.758446
444,-85.44801,37.392574,41.758446
445,-86.87871,37.525547,41.758446
446,-88.37274,37.597626,41.758446
447,-89.918625,37.60819,41.758446
448,-91.5048,37.557858,41.758446
449,-93.11904,37.447254,41.758446
450,-94.74913,37.27638,41.758446
451,-96.382576,37.04647,41.758446
452,-98.00708,36.760017,41.758446
453,-99.61014,36.418884,41.758446
454,-101.17965,36.02556,41.758446
455,-102.7036,35.58252,41.758446
456,-104.170525,35.09474,41.758446
457,-105.56908,34.56409,41.758446
458,-106.88873,33.99616,41.758446
459,-108.1194,33.39405,41.758446
460,-109.25174,32.762737,41.758446
461,-110.27717,32.10781,41.758446
462,-111.187805,31.433002,41.758446
463,-111.97667,30.743902,41.758446
464,-112.63797,30.046724,41.758446
465,-113.16646,29.345196,41.758446
466,-113.558174,28.64491,41.758446
467,-113.81025,27.952703,41.758446
468,-113.92059,27.271679,41.758446
469,-113.88846,26.608677,41.758446
470,-113.71417,25.969286,41.758446
471,-113.39886,25.355991,41.758446
472,-112.945114,24.77563,41.758446
473,-112.35622,24.23069,41.758446
474,-111.63676,23.726757,41.758446
475,-110.792175,23.267563,41.758446
476,-109.82897,22.856216,41.758446
477,-108.7544,22.496443,41.758446
478,-107.576706,22.190105,41.758446
479,-106.30474,21.940315,41.758446
480,-104.94825,21.748312,41.758446
481,-103.517555,21.615337,41.758446
482,-102.02352,21.543259,41.758446
483,-100.47754,21.532074,41.758446
484,-98.891464,21.583027,41.758446
485,-97.27722,21.69363,41.758446
486,-95.64713,21.864508,41.758446
487,-94.01369,22.094416,41.758446
488,-92.38918,22.380867,41.758446
489,-90.786125,22.722,41.758446
490,-89.21661,23.115328,41.758446
491,-87.692566,23.557743,41.758446
492,-86.22574,24.046143,41.758446
493,-84.82718,24.576794,41.758446
494,-83.50753,25.144726,41.758446
495,-82.276855,25.746836,41.758446
496,-81.14452,26.378147,41.758446
497,-80.11909,27.033073,41.758446
498,-79.20846,27.707882,41.758446
499,-78.419495,28.396362,41.758446
500,-77.75829,29.094162,41.758446
501,-77.229805,29.79569,41.758446
502,-76.83809,30.495975,41.758446
503,-76.58601,31.188183,41.758446
504,-76.47567,31.868584,41.758446
505,-71.88709,33.26356,33.04699
506,-72.10463,34.062645,33.04699
507,-72.49783,34.82693,33.04699
508,-73.06381,35.551453,33.04699
509,-73.79823,36.22999,33.04699
510,-74.69548,36.858196,33.04699
511,-75.748856,37.4311,33.04699
512,-76.950226,37.94373,33.04699
513,-78.290405,38.392982,33.04699
514,-79.7594,38.775124,33.04699
515,-81.345764,39.08705,33.04699
516,-83.03761,39.326904,33.04699
517,-84.82198,39.492188,33.04699
518,-86.68533,39.581665,33.04699
519,-88.61345,39.595337,33.04699
520,-90.59175,39.533195,33.04699
521,-92.60507,39.39463,33.04699
